"Row","Date","R_medio","R_Quantile0.025","R_Quantile0.975"
"380",2021-02-17,1.06011386299957,1.05046262931821,1.06980862023523
"381",2021-02-18,1.10327776654167,1.09346438343927,1.11313438297505
"382",2021-02-19,1.13906828558763,1.12915120413811,1.14902812759832
"383",2021-02-20,1.19129514606753,1.18123146918805,1.20140092115378
"384",2021-02-21,1.2192264181031,1.20915436694843,1.2293396677025
"385",2021-02-22,1.25432955652232,1.24424704012826,1.2644521972193
"386",2021-02-23,1.26894625349088,1.25896198285377,1.27896941378264
"387",2021-02-24,1.26791614516022,1.25810661852503,1.27776324012283
"388",2021-02-25,1.25209112054025,1.24251717545763,1.26170130183044
"389",2021-02-26,1.2442873667422,1.23491208992605,1.25369760748812
"390",2021-02-27,1.21586967470076,1.20676322664524,1.2250098805485
"391",2021-02-28,1.19385043183326,1.18497353217736,1.20275999960341
"392",2021-03-01,1.21586585497226,1.20704151199326,1.22472189305171
"393",2021-03-02,1.21328067010269,1.20459952600288,1.2219925527674
"394",2021-03-03,1.20702274906524,1.19849504078176,1.21558027138359
"395",2021-03-04,1.20118738737727,1.19280686612147,1.20959684099138
"396",2021-03-05,1.20087547532144,1.19261798598009,1.20916105965537
"397",2021-03-06,1.19667263574477,1.1885483507066,1.20482421100203
"398",2021-03-07,1.19154050000316,1.18354862441813,1.19955889617085
"399",2021-03-08,1.16290603811085,1.15512063476882,1.17071722896113
"400",2021-03-09,1.13772667486543,1.13012435442315,1.14535412825532
"401",2021-03-10,1.13508677163571,1.12757947905258,1.14261862894693
"402",2021-03-11,1.11652045102348,1.10915391171959,1.12391103568353
"403",2021-03-12,1.09687071933701,1.08963932147424,1.10412570344809
"404",2021-03-13,1.07612884798764,1.06902626312229,1.08325462494758
"405",2021-03-14,1.05959508441761,1.05259709230404,1.06661594195564
"406",2021-03-15,1.04297440942983,1.03607204219353,1.04989937610715
"407",2021-03-16,1.02906676062528,1.02224227381559,1.03591363849408
"408",2021-03-17,1.00128048975857,0.994572625228997,1.00801058767135
"409",2021-03-18,0.991329840388536,0.984668534575161,0.99801329232319
