beta,n
7935658.021374304,133572
7752150.85338901,102268
7782782.774085816,76931
7730315.524571387,199460
7630157.821209685,213007
7573780.526931528,236548
7401985.484318831,285111
7460663.752670207,291156
7436986.063272506,262602
7459270.17087031,211856
7291334.575682833,274683
7546928.759533943,282227
7630652.52685427,288371
7826368.391671823,317279
8106164.5189335225,333934
8461635.635791082,287585
8880394.2833139,217980
9472877.261495847,293309
10044065.54873145,316637
10885196.69104664,327416
12038989.612596273,347718
12878257.150680585,354892
13722574.229207568,360654
14410029.92120546,274317
15190540.025500495,371344
15691580.084940137,373869
15966528.98965703,401358
15943476.238586525,470283
16676105.445937874,489363
17326967.08261024,467706
17683909.149029624,352293
18603211.812996596,476739
19598501.13899137,483200
20921889.434035994,469808
21728206.178707782,512098
21488792.748827055,499589
20925135.916656602,456551
20660041.064239454,358427
20201063.041605856,452483
19814954.22777998,446949
18967793.131755024,449227
17984490.189337656,461265
17223085.964306764,426445
16581557.924285445,374950
16050704.522687957,280509
15799740.148735749,417844
15415761.129389253,426284
14983077.857060296,375182
14554552.073181797,356606
14219339.5589881,324964
13836046.887552388,274690
13669581.356698161,182747
13522547.224957274,321156
13343318.852584193,311057
13256870.895025065,297901
13223760.740729745,279718
13132974.017417936,245534
13054215.25817615,188112
12731112.62114198,146486
12557966.661525583,220235
12479554.604286117,191189
12216083.862027103,179660
12055311.62947073,153391
11926210.19079192,136829
11857048.281579295,61663
11818466.33557983,24470
11833902.735515762,104933
11783925.552899169,118090
11982453.516745979,116460
12004978.912146747,113621
12031514.686001686,113620
11989389.153110044,76389
11965584.10621,63566
11798167.095872978,161165
11486311.848228179,142744
11171427.308717517,163188
10881168.144966368,159131
10662181.017936714,173645
10530956.762941157,131027
10310990.836808754,92972
10141397.333364908,193190
9996450.588082656,179853
10115434.535394715,178704
10191043.724397864,177013
10243684.309378063,179286
10262508.864691429,121162
10330716.06908295,82117
10265202.487321116,182164
10315628.317184981,185540
10046625.068673253,177405
9989663.399667235,191301
9969634.799667053,188051
9903622.946012845,132946
9883195.319473632,84360
9895547.587245788,182986
9926814.917983357,168813
10001871.050435849,154889
10044853.220231175,152751
10070475.424295392,142193
10175565.361172983,119483
10183963.329466265,76035
10062278.47057345,172117
9961223.335167538,158665
9895290.675479202,151072
9934987.956252264,129746
9996678.568727942,132002
10018545.002118882,111718
10098322.2385269,67002
10293912.598902132,127941
10394771.193528282,109997
10377215.037148999,105277
10313596.163298674,101820
10382678.597834177,88936
10441703.873274833,73052
10438493.774305128,44867
10368678.76277402,83258
10369692.842757093,75200
10402935.340811448,66784
10395194.552759722,65929
10289433.12593099,74462
10286358.170227265,70607
10598702.24999196,43090
10770753.317127237,82254
10915600.669172194,79023
11316887.519147517,82899
11798835.353661634,85287
12208269.509823432,87249
12681079.585132817,77295
12980559.669119636,48533
13631010.398169313,85729
14246209.728107825,74170
14633190.52180738,71090
15011051.676371668,74320
15350934.949942736,69479
15526453.966190275,57584
15465757.10648897,31817
15366288.268848768,61618
15107425.623675039,55458
14940590.436314981,55519
14718563.639305795,58691
14301299.536302848,59193
14096808.239859655,48277
13745753.999424385,24048
13791457.12514372,18325
14237443.55670144,60776
14711015.397122277,58551
15004941.50740801,57117
15361827.900152175,60955
15289741.962985078,44545
15484511.176607035,21432
15629752.880736936,49517
15396792.856992867,43737
15069628.11807389,40996
14809417.980204947,43275
14597785.085776398,44859
14592257.838202905,31698
14585830.431841085,13886
14670832.820545556,35397
14742703.785827037,29127
14745161.210366033,27133
14780468.707538353,29009
14697808.159058208,27449
14702675.443234295,19762
14487245.422330508,10050
14439565.987107491,20538
14308402.591864994,22311
14214317.875543468,26446
14092644.614973783,21672
14047960.796730433,22837
13838174.063544093,19565
13763538.992766444,9009
13646511.50065782,20219
13546148.109500002,20930
13814879.126345437,19322
13750867.673046743,21265
13713006.873733329,22483
13699382.877548618,19747
13656591.882482111,10072
13690274.287071407,22281
13746318.474296229,20667
13511961.373039456,7997
13635805.047383608,27919
13845611.350492861,24533
13989136.198075786,20390
14174786.36092421,10284
14420390.600684442,22693
14643101.388795342,21769
14734190.650249882,22031
14686235.162432581,23846
14652251.233577406,25904
14720727.130646985,23261
14933875.72090591,12349
15745089.727611871,27027
16437218.50772248,26902
17187025.261169292,25931
17816541.799268726,24785
18430685.560515765,11768
18783324.61202934,1963
19862317.033248026,7477
21262871.22323762,42232
21848298.21781953,37231
21252357.734178685,29194
19940010.540075406,27036
18157057.605001684,11899
17263818.67670936,2979
15901792.486707415,18757
14564802.563029615,41392
13061403.928373005,39365
11858285.437347306,33960
10923987.658150567,19534
10389955.483740896,56723
9189138.018700648,53636
7966007.066489925,37345
6241906.474963755,55116
4848953.879796862,55177
3659120.1402142965,52082
,52697
,40674
,32148
,26465
,50275
,53893
,52928
,50282
,37886
,26232
,32169
,53008
,58477
,55479
,45799
,55529
,64518
,48012
,57577
,62926
,60783
,57848
,70125
,81019
,53809
,63332
,65046
,57057
,56911
,60600
,70143
,40487
,45535
,47094
,44553
,41887
,45406
,51254
,30833
,37059
,36332
,32609
,31803
,33973
,38192
,22124
,27748
,22058
,21414
,21960
,22556
,23081
,9215
,15455
,14999
,13432
,13580
,15029
,14885
,5360
,10169
,10160
,9176
,9383
,9858
,8690
,2488
,7318
,8210
,6979
,7964
,7820
,7643
,2321
,5896
,5554
,5304
,5609
,4128
,4141
,940
,3487
,3564
,3859
,3744
,4356
,3982
,757
,3502
,3127
,3266
,3327
